"統計期","性別","失業人口/總計[千人]","失業人口/研究所[千人]","失業人口/大學[千人]","失業人口/專科[千人]","失業人口/高中[千人]","失業人口/高職[千人]","失業人口/國中[初職][千人]","失業人口/國小以下[千人]","失業率/全體[%]","失業率/研究所[%]","失業率/大學[%]","失業率/專科[%]","失業率/高中[%]","失業率/高職[%]","失業率/國中[初職][%]","失業率/國小以下[%]"
"105年平均","女",20,3,12,2,1,2,0,0,3.1,2.3,3.7,1.8,4.9,3.1,3.6,1.3
"106年平均","總計",50,5,29,7,2,6,1,0,3.8,2.1,4.7,3.3,2.7,4.0,3.4,1.8
"106年平均","男",29,2,16,5,1,4,1,0,4.1,1.4,5.5,4.0,2.3,4.8,4.5,1.3
"106年平均","女",21,4,13,2,1,2,0,0,3.4,2.8,4.0,2.4,3.3,2.9,1.2,2.0
"107年平均","總計",49,8,27,5,3,5,1,0,3.7,3.2,4.4,2.6,3.4,3.5,3.4,1.1
"107年平均","男",26,4,12,3,2,3,1,0,3.7,3.0,4.1,2.6,4.5,4.0,4.9,2.6
"107年平均","女",23,4,15,2,0,2,0,0,3.7,3.3,4.6,2.7,1.3,2.9,0.1,0
"108年平均","總計",50,7,29,5,4,4,1,1,3.7,2.6,4.8,2.4,4.7,2.7,2.4,4.5
"108年平均","男",27,2,15,3,3,3,1,0,3.8,1.8,5.5,2.7,5.1,3.1,2.2,1.4
"108年平均","女",22,4,13,2,1,1,0,1,3.6,3.3,4.2,2.0,3.8,2.0,2.9,8.6
"109年平均","總計",51,6,32,6,6,0,1,0,3.9,2.3,5.1,3.1,3.1,0,2.9,0.9
"109年平均","男",27,3,14,4,4,0,1,0,3.8,2.4,4.9,3.4,3.2,0,3.7,0.6
"109年平均","女",25,3,18,2,2,0,0,0,3.9,2.2,5.3,2.5,2.9,0,0.6,1.4
"110年平均","總計",52,6,34,5,7,0,1,0,4.0,2.4,5.1,2.8,3.6,0,3.7,1.4
"110年平均","男",29,3,18,3,5,0,1,0,4.3,2.3,5.7,2.8,4.2,0,4.0,1.5
"110年平均","女",23,3,16,2,2,0,0,0,3.8,2.4,4.6,2.8,2.7,0,2.8,1.3
"111年平均","總計",44,4,30,4,5,0,1,0,3.7,1.9,4.8,2.5,2.8,0,3.7,2.1
"111年平均","男",23,2,14,2,3,0,1,0,3.5,1.8,4.8,2.4,3.1,0,4.2,2.7
"111年平均","女",22,2,16,2,1,0,0,0,3.8,1.9,4.9,2.7,2.4,0,2.6,1.3
"112年平均","總計",43,5,25,5,6,0,1,0,3.5,2.1,4.3,3.0,3.6,0,2.1,0
"112年平均","男",23,3,13,3,4,0,0,0,3.6,2.1,4.6,3.4,3.8,0,2.5,0
"112年平均","女",19,2,13,2,2,0,0,0,3.3,2.2,4.1,2.6,3.2,0,1.5,0
"113年平均","總計",42,7,24,5,5,0,0,0,3.5,2.8,4.1,3.2,3.1,0,1.6,0.7
"113年平均","男",22,4,11,3,4,0,0,0,3.4,2.8,4.0,3.0,3.7,0,1.3,0
"113年平均","女",20,3,13,3,1,0,0,0,3.5,2.9,4.2,3.4,2.1,0,1.9,1.5

